gene_symbol,logfc_dz:581,logfc_dz:893,logfc_dz:882,logfc_dz:274,logfc_dz:9,logfc_dz:895,mean_logfc,median_logfc,common_experiment,organism
HBB,-0.18991458415985107,,0.10915778577327728,,-0.022925730794668198,-0.018326744437217712,-0.030502318404614925,-0.020626237615942955,-0.018326744437217712,human
TCAP,-0.1894325464963913,,,,,,-0.1894325464963913,-0.1894325464963913,,human
ACTN3,-0.15742525458335876,,,,,,-0.15742525458335876,-0.15742525458335876,,human
TNNI1,-0.13740114867687225,,,-0.042590972036123276,,,-0.08999606035649776,-0.08999606035649776,,human
TNNT1,-0.12468676269054413,,,,,,-0.12468676269054413,-0.12468676269054413,,human
TPM3,-0.11729127168655396,,,,,,-0.11729127168655396,-0.11729127168655396,,human
AMPD1,-0.10895600914955139,-0.023785389959812164,,,,,-0.06637069955468178,-0.06637069955468178,,human
ADI1,-0.10808820277452469,,-0.04307980462908745,,,,-0.07558400370180607,-0.07558400370180607,,human
MYL3,-0.1057068482041359,,,,,,-0.1057068482041359,-0.1057068482041359,,human
ZNF91,-0.1015004962682724,,,,,,-0.1015004962682724,-0.1015004962682724,,human
NPIPB5,-0.09450886398553848,,,,0.02530542016029358,,-0.03460172191262245,-0.03460172191262245,,human
MYH7,-0.08760830014944077,,,,,,-0.08760830014944077,-0.08760830014944077,,human
TNNC1,-0.0856509581208229,,,,,,-0.0856509581208229,-0.0856509581208229,,human
CKMT2,-0.08474510908126831,,,,,,-0.08474510908126831,-0.08474510908126831,,human
NMRK2,-0.07662925869226456,,,,,,-0.07662925869226456,-0.07662925869226456,,human
GSTT1,-0.07641047239303589,-0.02045772410929203,,,,,-0.04843409825116396,-0.04843409825116396,,human
MYL12B,-0.06829588115215302,,-0.02692403644323349,-0.015217330306768417,,,-0.03681241596738497,-0.02692403644323349,,human
CEBPB,-0.06780178844928741,,0.0524146743118763,-0.03163411468267441,,,-0.015673742940028507,-0.03163411468267441,,human
ATP5H,-0.06595640629529953,,,,,,-0.06595640629529953,-0.06595640629529953,,human
PPP1R1A,-0.06556712836027145,,,,,,-0.06556712836027145,-0.06556712836027145,,human
KLF10,-0.06484126299619675,,,-0.02633022889494896,-0.013929847627878189,,-0.03503377983967463,-0.02633022889494896,,human
VDAC2,-0.06281266361474991,,,,,,-0.06281266361474991,-0.06281266361474991,,human
