gene_symbol,logfc_dz:827,logfc_dz:753,logfc_dz:635,logfc_dz:828,logfc_dz:829,logfc_dz:830,logfc_dz:634,logfc_dz:467,logfc_dz:318,logfc_dz:712,logfc_dz:713,logfc_dz:714,logfc_dz:715,logfc_dz:565,logfc_dz:567,logfc_dz:568,logfc_dz:729,logfc_dz:566,mean_logfc,median_logfc,common_experiment,organism,signature_type
MPP1,,,,,,,,,,,,,,-0.0350108817219734,,-0.0737320184707641,-0.0158387832343578,,-0.0415272278090318,-0.0350108817219734,,human,DOWN
MSMO1,,-0.0075897048227488,,,,,,,-0.0747023597359657,,,,,,,,,,-0.0411460322793573,-0.0411460322793573,,human,DOWN
RPS8,-0.1142040565609932,-0.0095634823665022,-0.0102503634989261,-0.1117539852857589,0.0208314731717109,-0.0326657369732856,-0.1107741221785545,-0.08223407715559,-0.0283110160380601,-0.0469259843230247,-0.0462276190519332,-0.0204700622707605,,-0.01906075514853,-0.0178615190088748,,0.014350171200931,,-0.0410080756992101,-0.0283110160380601,-0.1142040565609932,human,DOWN
STX11,,,,,,,,,,,,,,,-0.0170160252600908,,,-0.0648198276758194,-0.0409179264679551,-0.0409179264679551,,human,DOWN
FOLH1,,,,,,,,,,,,,,0.0215531308203935,-0.087890587747097,-0.0164119731634855,,-0.0806905180215835,-0.0408599870279431,-0.0485512455925345,,human,DOWN
H3F3C,-0.0681393072009086,,,-0.0414107404649257,0.0134184835478663,,-0.0737744644284248,-0.0317080207169055,,,,,,,,,,,-0.0403228098526597,-0.0414107404649257,-0.0681393072009086,human,DOWN
C9orf78,,,,,,,,,,,,,,-0.0413346849381923,-0.0445637181401252,-0.0351761691272258,,-0.0386341139674186,-0.0399271715432405,-0.0399843994528055,,human,DOWN
HMGN2P46,-0.0686266720294952,,-0.0299546513706445,-0.0398874506354332,-0.0157782454043626,-0.0406947694718837,-0.0590247735381126,-0.0441955998539924,-0.0206317119300365,,,,,,,,,,-0.0398492342792451,-0.0402911100536584,-0.0686266720294952,human,DOWN
TRAC,,,,,,,,,,,-0.0757799223065376,,-0.0583606623113155,,,,0.0151758063584566,,-0.0396549260864655,-0.0583606623113155,,human,DOWN
EIF1,-0.1344834268093109,,0.0077033741399645,-0.0664061084389686,,,-0.1378792375326156,-0.0505145341157913,,,0.0135993780568242,0.0177868399769067,,-0.0243015494197607,,-0.0354939773678779,0.0159542933106422,,-0.0394034948199987,-0.0298977633938193,-0.1344834268093109,human,DOWN
