gene_symbol,logfc_dz:769,logfc_dz:768,logfc_dz:548,logfc_dz:853,logfc_dz:855,logfc_dz:891,logfc_dz:892,logfc_dz:854,logfc_dz:543,logfc_dz:767,logfc_dz:542,logfc_dz:465,logfc_dz:852,logfc_dz:547,logfc_dz:549,logfc_dz:545,mean_logfc,median_logfc,common_experiment,organism,signature_type
RNPS1,,,,,,,,,,,,-0.043658297508955,-0.0247272420674562,,,,-0.0341927697882056,-0.0341927697882056,,human,DOWN
ATP6V0E2,,-0.0199103225022554,,,-0.0323466211557388,,,-0.0524782538414001,-0.0290201194584369,,,-0.023879999294877,-0.0474925152957439,,,,-0.034187971924742,-0.0306833703070878,,human,DOWN
CKB,,,,,-0.0236351545900106,-0.0258479658514261,,-0.0438639000058174,-0.0182284880429506,,,-0.0625612437725067,-0.0307223089039325,,,,-0.0341431768611073,-0.0282851373776793,,human,DOWN
SLC35G2,-0.0340898856520652,,,,,,,,,,,,,,,,-0.0340898856520652,-0.0340898856520652,-0.0340898856520652,human,DOWN
IQCB1,-0.0339598134160041,,,,,,,,,,,,,,,,-0.0339598134160041,-0.0339598134160041,-0.0339598134160041,human,DOWN
SOX2,,,,,,-0.0334502570331096,-0.0464650727808475,,,,,,,-0.0219564381986856,,,-0.0339572560042142,-0.0334502570331096,,human,DOWN
FMO1,,,,,,,,,,,,,,,,-0.0339363478124141,-0.0339363478124141,-0.0339363478124141,,human,DOWN
IL2RG,,,-0.0468334928154945,,,,,,,,,,,,-0.0206732470542192,,-0.0337533699348568,-0.0337533699348568,,human,DOWN
VDAC2,,,,,,,,-0.0372372679412364,,,,,-0.0302356090396642,,,,-0.0337364384904503,-0.0337364384904503,,human,DOWN
ENPP2,,0.0209506824612617,,,-0.0784598514437675,,,-0.0299384724348783,,,,-0.0167945753782987,-0.0632274150848388,,,,-0.0334939263761043,-0.0299384724348783,,human,DOWN
NCAN,,,,-0.052546203136444,-0.024558613076806,,,,,,,,-0.0232676528394222,,,,-0.0334574896842241,-0.024558613076806,,human,DOWN
TTYH1,,,,-0.0270230751484632,-0.0322942584753036,-0.0530646853148937,,-0.0343452878296375,,,,,-0.0204155817627906,,,,-0.0334285777062177,-0.0322942584753036,,human,DOWN
NRGN,,,,,-0.0257957316935062,,,-0.0265642199665308,,,,,,,-0.0477976612746715,,-0.0333858709782362,-0.0265642199665308,,human,DOWN
GZMA,,,-0.0305097643285989,,,,,,,,,,,,-0.0361105762422084,,-0.0333101702854037,-0.0333101702854037,,human,DOWN
HLA-A,,,-0.0633970722556114,-0.0839587375521659,,,0.0188555121421813,-0.0178878121078014,,-0.0129094282165169,,,-0.0247428528964519,,-0.0488362126052379,,-0.0332680862130863,-0.0247428528964519,,human,DOWN
EGFL7,,,,,,,,,,,,,,,,-0.0332523211836814,-0.0332523211836814,-0.0332523211836814,,human,DOWN
SNHG3,,,,,,-0.0331902466714382,,,,,,,,,,,-0.0331902466714382,-0.0331902466714382,,human,DOWN
PSAT1,,,,-0.0331747196614742,,,,,,,,,,,,,-0.0331747196614742,-0.0331747196614742,,human,DOWN
CAMLG,-0.0307336878031492,-0.0316715650260448,,-0.0268312562257051,-0.0344548448920249,,,,-0.0421572253108024,,,,,,,,-0.0331697158515453,-0.0316715650260448,-0.0307336878031492,human,DOWN
CRYBB1,,,,,,,,,,,,,,-0.0331328846514225,,,-0.0331328846514225,-0.0331328846514225,,human,DOWN
SLC39A2,,,,,,,,,,,,,,-0.0329838991165161,,,-0.0329838991165161,-0.0329838991165161,,human,DOWN
SV2A,,,,,,,,,-0.0220724735409021,,,,-0.0437599271535873,,,,-0.0329162003472447,-0.0329162003472447,,human,DOWN
ZNF217,,,,,,,,,,,,,,,-0.0329045541584491,,-0.0329045541584491,-0.0329045541584491,,human,DOWN
ASAP2,,,,,,,,,,,,,,,,-0.0328849740326404,-0.0328849740326404,-0.0328849740326404,,human,DOWN
PPIC,,,,,,,,,,-0.0284738317131996,-0.0372898913919925,,,,,,-0.032881861552596,-0.032881861552596,,human,DOWN
MAGI2,,-0.0396660305559635,,,,,,,-0.0259563401341438,,,,,,,,-0.0328111853450536,-0.0328111853450536,,human,DOWN
IER5,,,-0.0335433147847652,,,,,,,,,,,,-0.0319958701729774,,-0.0327695924788713,-0.0327695924788713,,human,DOWN
M6PR,,,,,,,,,,,,,,,-0.0327240414917469,,-0.0327240414917469,-0.0327240414917469,,human,DOWN
TUBB4A,,,,-0.0357546098530292,-0.0271600764244794,,,-0.0301349367946386,,,,-0.0192423779517412,-0.0511098690330982,,,,-0.0326803740113973,-0.0301349367946386,,human,DOWN
HES1,,,,,,,,,,,,,,,,-0.0325164273381233,-0.0325164273381233,-0.0325164273381233,,human,DOWN
TNFAIP6,,,,,,,,,,,,,,-0.0324937514960765,,,-0.0324937514960765,-0.0324937514960765,,human,DOWN
